taxon	reads
821	2019313
328814	1333665
820	917223
818	694316
328813	655269
387661	365240
817	363724
823	336256
338188	262699
214856	253856
2955562	242359
853	204765
28118	175939
371601	172477
3073964	165332
28116	164155
291645	139379
357276	100689
39485	97433
2955560	89897
2955561	75498
39491	74470
33039	73952
46506	67746
40545	64847
2929488	58273
411483	56656
2927224	46763
1288121	39655
301301	39476
2650157	39474
1160721	38145
2929494	37342
88431	33036
2847299	32462
169435	32264
411486	32221
2714355	32157
2831966	30045
2093857	29817
292800	27988
2785531	27789
2929492	27307
410072	26712
2929491	25472
40520	24337
2956060	23931
1099853	23176
46503	22831
1550024	22632
674529	21917
47678	21906
2929493	21764
2860051	21272
2109687	20957
2714353	20894
165179	20496
1472416	20201
2709390	20029
2585118	18635
649756	17459
2929490	17015
33038	16900
538949	16485
2929489	16345
2929495	16103
166486	15974
2792859	15661
1297617	15579
3030639	15162
214851	14226
1522	13889
1496	12968
2946555	12091
74426	11849
2086584	11465
512298	10771
2763056	10667
2162637	10253
2972763	9821
2528203	9557
46228	8670
291644	8423
3117552	8322
2108523	7894
876	7656
2878202	7580
1737424	7537
2714358	7275
2763672	6752
2972761	6557
2946593	6529
2763022	6518
239935	6344
39488	6021
1796613	5873
39496	5745
556259	5395
208479	5141
2650158	4920
376805	4847
2707299	4806
2610895	4511
28111	4448
29347	4423
2564099	4412
2715212	4305
2025876	4240
89014	4151
39486	4048
657323	4004
1520	3931
1982626	3870
328812	3516
9606	3507
3068329	3464
2479767	3343
418240	3322
446660	3228
28901	3214
1352	3037
246787	2993
116085	2979
333367	2702
29348	2701
53443	2646
154046	2464
2755405	2424
2585119	2411
626937	2344
562	2214
2583452	2195
1965590	2130
1776384	2057
387090	1946
2364787	1940
1981510	1922
2763667	1855
53442	1832
45851	1768
1307	1721
2685834	1692
3079303	1589
1161942	1580
1531	1548
2780922	1544
1871021	1540
33043	1534
3079302	1518
84112	1449
454154	1418
2972764	1415
397865	1381
1177574	1380
2779518	1303
2086585	1297
751585	1244
2763669	1227
1796635	1210
1280	1209
1547	1139
2068655	1139
168384	1130
1502	1116
329854	1114
3028070	1078
3030016	1072
2951805	1069
1796620	1045
2763670	1042
33035	1020
253239	1014
1264	990
28026	988
216816	981
1501392	981
884684	970
2709410	944
831	939
1155388	937
544645	929
28113	925
162156	923
84030	900
471189	889
2173	868
3046383	852
3030017	832
3046382	813
2666138	774
1491	768
2093856	726
28037	726
290053	716
2763062	689
1322	680
1359	678
287	675
2841528	671
2944914	665
89153	656
2202000	646
2518605	643
282402	631
1261635	625
1404	622
1423	601
1529	599
1590	597
197	585
1217282	582
638849	581
1912897	577
2766537	575
2576756	571
1796616	570
1532	570
195	561
2994078	552
1561	550
28119	545
2041044	533
454155	524
2966552	511
2507162	502
1653434	488
1965571	475
3036945	475
3045146	472
1261634	464
837	456
573	455
3070656	447
1515	447
1738647	447
2877527	439
1042156	437
1736	432
1308	418
3110227	405
1313	396
9	384
1472417	383
2662363	378
185007	372
69710	367
2518971	367
3114296	361
69823	354
3052090	348
28131	348
1852373	346
36845	338
3059030	337
1622	336
105841	326
2231056	326
2144175	326
626932	325
615	322
2899121	321
84110	320
158	320
100886	312
927786	311
729	302
1335613	301
28123	301
2823317	297
1311	296
3070681	293
1639	292
