taxon	reads
820	1775366
47678	1232204
821	774058
239935	489720
2972761	310953
165179	258252
818	224611
371601	214205
454154	179078
28116	166851
46503	157698
562	157639
853	152898
823	132192
2792859	102402
33025	98043
2585118	94137
2093857	93538
2860051	91426
2714355	90263
301301	85808
1981510	82719
512298	79573
2714353	73095
1680	68818
214851	67676
246787	67111
2528203	65444
649756	65053
2785531	61997
1550024	61676
817	56401
2109687	51530
2763672	47659
1737424	47138
2755405	45033
39488	44704
1297617	42067
3117552	39336
39491	38752
292800	35532
74426	35435
44742	34366
88431	33654
657323	32084
1160721	29472
169435	28924
328813	27217
2847299	26789
33039	26459
357276	25738
166486	24437
410072	23625
674529	22954
2479767	22462
28118	21992
329854	21698
411483	20701
1288121	19688
2763056	19405
2929495	19388
2929493	17877
328812	17474
1496	17173
2715212	16302
411486	15944
28026	15822
2162637	15572
2929494	15481
2714358	14800
291644	14666
2929491	14143
214856	14134
2929489	13676
2929492	13603
2108523	12956
39485	12766
208479	11748
39486	10635
2518605	10278
33038	10093
2763670	9823
2922858	9816
556259	9656
216816	9501
89014	9367
2929488	9276
1472416	9112
29347	8242
2685834	7384
2763022	7273
84112	7005
2610895	6992
154046	6955
46506	6916
2929490	6745
1796613	6697
538949	6547
387661	6345
2650158	6253
1681	6203
3030639	6112
291645	6080
1965590	6033
2922859	5874
28111	5831
39496	5619
623	5366
2707299	5366
116085	5271
626932	4960
1502	4528
1217282	4428
1522	4416
1982626	4353
53442	4286
9606	4182
338188	4110
2985571	4096
387090	3936
2650157	3743
162156	3516
28901	3405
3079303	3322
197	3297
2086584	3178
1161942	3074
28113	3030
2763669	2970
1352	2877
2763667	2836
2025876	2762
45851	2757
2086585	2644
3028070	2526
3079302	2496
2922857	2417
1531	2371
1686	2360
544645	2356
1307	2346
1685	2340
1796616	2297
1308	2253
1796620	2222
28119	2190
3046383	2101
3030016	2095
2364787	2067
2763062	2065
2585119	2057
1547	2025
1042156	2005
2780922	1966
3046382	1883
626937	1860
1871021	1833
33043	1806
253239	1779
1155388	1761
1261635	1675
2831966	1653
2878202	1638
2860337	1633
1261634	1626
290053	1618
2041044	1558
751585	1537
487173	1498
100886	1438
3030017	1434
2841528	1419
1472417	1396
208962	1339
1177574	1284
1653434	1269
1912897	1225
573	1211
1491	1208
89153	1155
2662363	1134
3040764	1129
2507160	1123
621	1122
622	1120
2068655	1100
1515	1024
28025	1009
2766537	1009
2877527	936
831	930
2564099	892
2582419	888
2709410	868
624	865
1280	861
2576756	853
1736	801
2666138	794
303	784
2966552	773
1509	768
564	765
1529	754
927786	748
3059030	747
2020965	738
477666	732
158	727
3123317	723
3110227	716
1335613	706
28131	702
2779518	688
2762559	683
1520	670
2144175	664
1871022	662
33035	657
837	654
1907662	620
1796635	620
1623	593
1805478	581
1499973	569
180282	563
84030	561
1532	560
2093856	555
1738647	548
1197717	548
2518971	542
604330	534
147206	523
3070215	519
1396	515
626940	513
3045146	512
40520	510
1965571	509
105841	506
1776384	501
9	501
1099853	497
195	494
438033	492
2709390	489
2507162	488
1501	486
2951805	481
1689	470
1492	466
28132	464
34073	462
29375	460
1561	453
2003188	450
3036945	446
1002546	444
69823	443
84032	443
185007	431
97138	431
638849	427
3114296	424
2044467	417
1351	415
1318	412
1871019	409
3070656	404
39950	403
2994078	400
1355477	397
261299	397
1304	397
3050072	395
36845	395
418240	388
2927224	388
2583452	386
1115758	384
1505	381
651822	380
1852373	380
546	379
615	378
3070814	376
238834	374
2779519	373
287	372
1871031	371
901	370
2594456	370
1229621	361
13690	359
33033	356
158836	352
1981031	351
76860	345
1929477	345
3039116	344
3081750	335
1761012	335
1727145	334
2696063	333
2490855	330
2934315	324
3115152	324
1796652	320
185008	320
712710	317
352475	313
1683	310
1392	309
3029274	309
1653831	303
61624	302
2690837	301
384	300
3023090	299
2682776	297
29341	296
712157	295
36745	293
106590	293
1216932	289
371036	286
3070996	285
876	284
712528	284
40324	283
1513	282
886478	280
907	277
1744	273
2530390	271
28125	271
2509664	271
2930219	270
617123	268
2613334	267
84110	267
1573823	267
1660	267
3068894	266
980427	266
1534	264
1260	264
316	262
165	262
502558	261
1406	260
1603886	258
644	258
1076	258
46867	255
1490	255
641107	255
36835	254
2944914	253
158847	253
56	253
2785025	252
3070997	251
1884263	251
89152	250
57706	249
2488810	248
164546	247
2855394	246
1510	244
1679721	244
1275	241
2894156	237
44008	235
2831968	233
2698458	233
1185412	231
236753	231
1619153	231
1460447	230
1589	229
28129	228
1658665	228
182773	225
394958	224
1488	221
565560	220
433286	219
376805	217
654	217
94869	215
879970	215
51515	213
169679	213
2921460	212
34	212
1504	212
1870985	212
1494	210
85698	210
29552	210
704125	209
1393	209
1359	208
2483110	207
36839	207
3029272	207
554949	207
1695218	205
2726954	204
79604	203
712411	203
1428	203
1871025	202
2509458	202
2697030	202
69	201
114527	201
2735723	200
