taxon	reads
821	6317968
165179	964896
46503	415750
371601	334522
1160721	276957
817	251853
853	202565
357276	188323
46506	173783
818	164333
544645	163790
820	128131
2929494	102541
823	99237
2714355	97024
328813	94118
2518605	92822
28026	69683
2093857	68751
214856	54220
2860051	51704
729	46481
2929493	46242
2109687	44300
2929492	43824
28127	43417
28132	43319
28116	43139
2093856	39549
28131	37078
3030639	35452
166486	34547
2929488	33942
28129	32217
2494234	32053
39491	31570
292800	31172
28118	30744
1288121	30025
2929495	29605
2929491	29535
77095	28942
2691580	26422
839	25114
2913614	24531
411483	24052
2913616	23361
2585118	23352
2847299	22040
74426	21907
538949	21451
2913621	21340
2937774	21017
2528203	20784
39485	19638
1550024	19515
301301	18789
387661	18755
2763670	18576
2530390	18001
28135	17394
1177574	16657
33025	16425
712471	16391
1297617	16339
2763672	15955
2913620	15800
28128	15620
674529	15337
47678	15301
2606626	15283
282402	15273
2763022	15110
2714353	14850
28125	14819
28111	14547
291645	13761
169435	13539
2584944	12846
2108523	12422
76123	12383
2929490	12148
2801997	11801
2929489	11515
2878202	11482
33039	11379
39496	11284
89014	11040
2831966	10724
1496	10668
2972761	10469
214851	10022
2714358	9862
28137	9804
2763056	9701
9606	9372
39488	9350
657323	9127
512298	8686
291644	8628
162156	8458
2364787	8405
2133944	8360
329854	8207
1965590	8170
28133	8019
1796646	7988
2585119	7912
411486	7772
1472416	7526
1852381	7496
387090	7250
2094151	7116
2774873	6943
2610895	6845
1796613	6823
2650157	6753
470565	6469
410072	6456
88431	6431
1686	6424
2859516	6360
28119	6225
1737424	6207
33043	6129
1642646	6018
1472417	5944
239935	5730
2715212	5526
2518971	5512
29347	5275
2650158	5088
454154	4833
208479	4810
40545	4688
39486	4682
3117552	4651
1352	4533
28113	4330
2162637	4045
216816	4035
2785531	4007
2025876	3996
2762559	3952
2479767	3918
1502	3874
2792859	3822
33038	3482
649756	3291
221822	3192
573	3166
626932	3056
2755405	3036
2951805	3036
837	3001
712710	2927
116085	2905
2763062	2866
2086584	2818
45851	2767
562	2762
154046	2749
328812	2657
712435	2602
2685834	2570
338188	2528
287	2451
53442	2389
487173	2331
28901	2304
2564099	2168
2954505	2142
28251	1990
2662363	1984
1261635	1975
303	1975
3046383	1955
3079302	1930
28450	1920
847	1915
1522	1902
1099853	1872
1531	1865
3093922	1853
57975	1834
3046382	1833
2780922	1828
1161942	1806
2841528	1749
477666	1723
1871021	1715
2763667	1656
351604	1656
1042156	1644
556259	1613
3079303	1604
1532905	1597
3028070	1594
751585	1558
1573823	1545
1912897	1512
2763669	1444
34073	1437
1115758	1400
2779518	1338
1982626	1337
1261634	1283
626937	1266
1642647	1255
831	1238
395631	1202
2735321	1199
1981031	1188
1639118	1176
2775920	1162
1776384	1127
2709410	1122
393921	1113
89153	1103
2582419	1095
33035	1066
1796620	1066
197	1055
1760811	1044
2086585	1005
322095	1003
1685	984
376805	965
1217282	947
2068655	939
253239	937
1628156	912
3133966	908
3030016	900
3110227	899
2041044	899
1796616	886
180282	886
13373	882
2674997	871
1532	859
28025	855
36874	853
1653434	839
2023866	835
2877527	824
246787	823
1680	807
1796635	777
1705399	765
1355477	764
1002546	762
2698458	755
470	742
665099	729
1307	721
867595	718
1529	713
164546	709
2829812	707
2682456	693
727	688
1660	681
3030017	672
39950	668
47671	666
158836	660
1017	660
645	652
28124	652
28449	648
654	641
84030	639
1389922	638
2161821	629
1358	624
2576756	616
3123317	609
2144175	606
45254	602
69823	596
84112	593
1313	593
2735723	586
1168034	579
1307839	573
1243007	572
2766537	568
666	566
82633	562
1308	560
3059030	555
43675	555
185007	552
587	546
2910158	538
423477	536
40324	531
3068894	530
626940	526
358	524
259	519
384	513
2932251	510
2708117	502
105219	497
316	496
450367	494
1182444	493
80867	492
2694930	486
29375	484
2899133	483
1280	480
3070215	477
332158	473
388950	473
29466	472
1190508	471
615	470
94624	465
2949635	459
638849	458
28188	456
282217	454
400092	452
2682455	450
2666138	449
2010828	444
164330	444
438033	443
1796652	443
93218	439
2694929	439
2932248	439
2849666	438
886478	436
2613334	435
1930273	435
195	435
158847	429
496056	428
2592049	427
1359	427
134	426
2571030	426
2714924	425
907	425
79604	424
2212991	421
2975866	419
56	418
363952	416
1547	413
2859768	412
1886807	402
1379910	394
2126321	392
1736	390
76758	389
114527	389
375489	387
3064278	387
889453	386
673273	386
2201271	383
2057025	382
187304	381
398053	380
3036945	378
2709390	378
85698	376
2994078	376
1019	373
2966552	372
65741	372
1987356	372
2507160	371
1850246	369
2502979	366
1871022	366
1972431	365
105841	364
490	363
2583452	363
13690	360
1416627	359
2035858	358
2929803	357
84159	357
225991	355
2979869	353
570161	351
3059028	350
94132	350
28037	350
2714926	347
3003229	346
2607656	346
553814	346
2035	344
2707299	344
29581	343
2975933	342
2903582	339
1229621	338
84110	338
726	338
2735554	337
3003259	337
445710	336
1335613	335
901	334
1981510	333
1004	330
1385663	329
285	329
3076558	328
204042	327
294	320
3029053	320
2927224	319
2666025	318
36863	318
1310165	318
1906741	317
644	316
1463165	315
3037797	312
2027405	312
2976983	312
946333	311
518	310
172042	310
1393	309
426737	309
564064	308
2590900	307
2975727	307
2972478	307
516051	307
2785056	305
2175091	305
2787628	303
1623	303
1234841	303
1689	302
2698672	302
203	301
453304	301
185008	300
1396	300
9	300
2259595	300
2820808	299
1336804	297
2980099	297
2908645	297
1653831	297
931531	296
2596915	296
1747	296
380	293
1795631	293
2810516	293
3081984	293
1796	292
2795000	292
2728024	292
2986837	290
43768	289
738	289
1304	289
1336802	288
163	287
2725414	287
2202828	286
3114296	286
1716143	286
256839	285
2602016	285
1871031	285
2109913	284
2487892	284
404405	283
2696063	283
2661922	283
35621	283
169760	283
1852373	283
1390395	283
1538644	282
1850093	282
2663009	280
199	280
53408	279
1491	279
1303	277
39778	275
74829	275
1260	275
184914	274
292	274
253	274
100886	273
351745	273
2986829	273
2867020	272
238	270
1191912	270
270918	269
1736675	269
433286	268
188932	267
2571750	267
1564114	267
2714932	267
2944810	266
2490855	266
1768242	265
87	265
2079536	265
1775881	265
549	264
2004710	264
328814	264
334542	264
1007105	263
2267521	262
240139	262
582	261
28189	261
352475	260
1804624	260
1817405	259
876	259
323450	259
1738647	259
44250	259
86173	257
2764720	257
41170	257
379895	257
2969621	257
1197717	256
492670	256
544580	254
1694	253
2714927	253
2321403	252
76731	252
2876190	252
2496028	252
2795738	251
3078805	251
2547394	251
3028622	250
1076	250
131080	250
2886932	250
1184151	250
2920382	249
2972784	249
147206	249
1305	249
1581680	249
237610	248
2885633	248
2991499	248
2992805	248
3003623	248
1318	247
1842536	247
34085	246
511	246
2654325	246
1871019	245
2747268	245
101571	245
135079	245
76259	244
497967	242
2071710	242
391953	241
2745947	240
290053	240
2937442	240
2678688	239
2853163	239
1505	238
480520	238
3046670	238
2906456	238
2010992	237
1353891	237
3070656	236
1805478	236
2681766	236
28047	236
1622	235
2507159	235
3039116	235
1639	234
3081750	234
587753	234
1909699	234
3045146	233
225971	232
2027860	232
2714925	232
2708053	232
1351	232
3111540	232
2745490	231
1232428	231
2962065	230
2741301	229
2908842	228
87883	227
1517	227
2003188	227
1727145	226
2823317	226
61435	225
179636	225
1492	224
364410	224
3131927	224
1932669	224
416169	224
373	224
2785025	223
69710	223
2496266	222
34038	222
2202825	222
2954535	222
255045	221
515361	221
2806552	220
2507162	219
1090615	219
1590	219
703	219
2976335	219
2982692	219
1851544	218
1141883	218
1127472	218
617123	218
1392	217
188475	217
563172	217
3002903	216
2518599	216
487184	216
1806508	216
2584466	216
1247	216
2920935	215
55508	215
33033	215
418702	214
2999067	214
656179	213
3073561	213
3003262	212
95486	212
2497456	212
158	211
1592106	211
1484118	210
1216932	210
713030	210
2502784	209
1490	209
2753607	209
3095337	209
1536773	209
1965571	208
3039159	208
1492737	208
2853432	208
437900	208
168471	208
604330	208
2588711	208
2820710	208
2319843	207
1311	206
2823518	206
151783	206
1531429	205
1658672	205
502558	205
2304594	204
187029	204
2744027	203
61624	203
2047	202
648	201
2086471	201
645517	201
2986949	200
1836467	200
463025	200
40520	200
97138	199
80878	194
418240	189
28454	187
382	183
623	181
1712675	178
155615	177
2954619	177
645292	168
2033437	156
244366	149
60552	133
305719	126
546	125
198620	124
858423	120
95485	117
1681	105
1807141	104
29459	100
128780	98
3051614	98
235	94
1648923	88
1756993	86
76857	78
357441	75
454155	68
2572065	67
75692	58
1501392	54
57706	53
2420310	46
2954504	45
2932252	42
589436	42
379067	42
1385591	41
2530391	40
2921428	38
397865	36
2954659	36
1423	36
589437	35
2530392	34
2921437	33
2954727	31
2921626	30
299767	30
95619	30
80866	29
2843979	29
2944392	28
621	28
971	28
3051123	27
2880988	27
993689	26
1322	25
2921360	25
622	25
558537	24
3113208	24
632	23
61645	23
342113	23
1661	23
52227	22
1406	22
2966625	22
550	21
46228	21
76859	20
551996	20
305	20
2954530	20
652716	19
2742657	19
2975929	19
1134687	18
851	18
1683	18
208962	18
1748967	18
296	17
1314	17
1499973	17
2975932	17
1399	16
2843984	16
2966554	15
158787	15
2975331	15
2681265	15
564	15
208224	15
2921673	15
1334	14
430531	14
53443	14
715	14
2972763	14
29523	13
1639133	13
1470347	13
2856522	13
2785630	13
60550	13
336810	13
520	13
2844383	13
2794344	13
173860	12
152480	12
2879939	12
2912628	12
168384	12
2954741	12
3047872	12
2653853	11
48296	11
1509	11
2974552	11
1503053	11
28112	11
333367	11
319501	11
762210	11
78448	11
35760	11
53345	11
76832	11
2843974	11
2866628	10
196024	10
2975758	10
2954663	10
54571	10
54736	10
47880	10
68246	10
213	10
2603296	10
732	10
3020843	10
1833	10
333965	10
1428	10
29461	10
2489010	9
179879	9
2949776	9
644410	9
651561	9
656	9
51201	9
556533	9
106654	9
2921667	9
2961893	9
2975698	8
571	8
712310	8
37734	8
1354	8
1812935	8
319939	8
548	8
2020965	8
1264	8
2994495	8
459529	8
3016636	8
138074	8
1452	8
190893	8
2806551	8
2989727	8
3060154	8
66425	8
43263	8
1503055	7
2060307	7
2975777	7
747	7
1329	7
1390	7
1500686	7
3016341	7
1294143	7
2903653	7
565560	7
95301	6
1149133	6
1702170	6
2875962	6
2921369	6
2954739	6
1530123	6
1603886	6
77635	6
33905	6
714	6
197575	6
2975750	6
2153354	6
33945	6
624	6
2487064	6
62322	6
56730	6
2026240	6
1886	6
2954101	6
2027919	6
3080020	6
2954691	6
1282	6
2681309	6
55404	5
46680	5
189426	5
414771	5
109328	5
217203	5
651	5
2971798	5
2044467	5
36745	5
2983214	5
881260	5
2921450	5
47877	5
47885	5
374106	5
1038928	5
300	5
76759	5
51101	5
3029272	5
1032242	5
1895637	5
2903803	5
2975945	5
2975922	5
1802	5
1765219	5
753	5
2921652	5
75985	5
2015348	5
488447	5
2825845	5
482957	5
2782654	5
488729	5
1637837	5
152500	5
2806443	4
293387	4
133448	4
316068	4
463024	4
2936799	4
208223	4
2562449	4
2720714	4
3062779	4
60890	4
3062449	4
250	4
59843	4
3122075	4
488731	4
34021	4
2879938	4
1773	4
3048607	4
1807790	4
671077	4
65058	4
83655	4
539813	4
471	4
69	4
2975736	4
2762896	4
3028807	4
2983219	4
1534	4
2983220	4
2983212	4
253237	4
2913412	4
29449	4
2748319	4
169679	4
2838850	4
2903793	4
1856685	4
3108389	4
2975691	4
2734146	4
1971	4
83656	4
2005046	4
434014	4
285729	4
86185	4
1499686	4
317	4
380021	4
2565368	4
2731681	4
2954752	4
1813019	4
3026145	4
2836161	4
2994661	4
2678260	4
2983246	4
166485	4
638619	4
1684	4
2906077	3
248906	3
3139408	3
1598	3
1503054	3
1405	3
860	3
1583098	3
416344	3
248026	3
379893	3
3073902	3
2921641	3
2921656	3
1890302	3
1584	3
1727214	3
249188	3
2820817	3
2866570	3
216778	3
94869	3
131111	3
730	3
1333528	3
2942449	3
1328	3
1903686	3
2903832	3
1827742	3
2692234	3
1336	3
2975728	3
1478	3
71452	3
437897	3
2866715	3
2932249	3
2175864	3
3112165	3
2903882	3
2903881	3
2744474	3
2981136	3
2721173	3
2976008	3
2010829	3
2825844	3
110321	3
2976818	3
28097	3
106590	3
1580596	3
878220	3
2968968	3
2705472	3
2944234	3
3074146	3
2735906	3
2320270	3
2778058	3
488	3
1259973	3
2939414	3
704125	3
84032	3
3029060	3
2678259	3
3077589	3
3078264	3
3048622	3
2874628	3
2811422	3
2918914	3
420336	3
2136173	3
2975739	3
2903830	3
2975783	3
1481663	3
2954088	3
1382237	3
3029761	3
2983228	3
1519	3
36845	3
2983233	3
69218	3
1561	3
3096605	3
2605424	3
551760	3
1504	3
185300	3
36746	3
2895471	3
489632	3
930166	3
2861284	3
2842346	3
59748	3
224012	3
241425	3
156453	3
201	3
1448857	3
122355	3
2604832	3
2842355	3
2599595	3
78327	3
2895472	3
2954726	3
59814	3
2954732	3
2651284	3
2758563	3
488546	3
3050072	3
1624	3
68270	3
47763	3
58343	3
193462	3
2508722	3
1942	3
197614	3
59310	3
76760	3
47878	3
1969	3
3031124	3
248315	3
1888	3
321662	3
3057114	3
671211	3
1117645	3
85874	3
459526	3
2739062	3
364317	3
940	3
309805	3
2560680	2
1582439	2
2953747	2
180	2
172713	2
59893	2
2921654	2
1795043	2
1324352	2
2478663	2
2478954	2
1604	2
1632	2
1366	2
2545455	2
477680	2
1813871	2
536979	2
584609	2
2686077	2
2908210	2
1848904	2
3016339	2
2871826	2
551989	2
35703	2
833	2
2315862	2
529	2
155194	2
2774562	2
1679444	2
33989	2
3077944	2
1500960	2
2751478	2
3016050	2
471189	2
1907662	2
375	2
3080012	2
158892	2
2964669	2
3127460	2
2018067	2
2895496	2
2866278	2
2998079	2
2067572	2
2054915	2
1198456	2
359110	2
1605838	2
485898	2
1245526	2
515393	2
33069	2
33903	2
1442032	2
2842349	2
226910	2
46677	2
104087	2
101564	2
2774460	2
312306	2
